it	posterior	likelihood	prior	lambda_avg	mu_avg	K_l	K_m	root_age	death_age	gamma_rate_hp_BI	gamma_rate_hp_D	poisson_rate_hp	corr_coeff	rsquared	gelman_r2
280000	-105796.704834	-105764.099552	-32.6052823053	0.318641567184	0.125622551052	7	5	1968.0	2000.5	5.169501731194603	7.65162704906893	4.538604348935629	0.59102333711	0.59392484734	0.59392484734
290000	-105803.106223	-105763.894793	-39.211429975	0.306274450687	0.140771046289	9	6	1968.0	2000.5	7.128452677510943	18.00053277329547	4.378650606630063	0.538427369272	0.557226469828	0.557226469828
300000	-105804.429912	-105771.200551	-33.2293609031	0.330083791896	0.13182024922	7	5	1968.0	2000.5	4.721108405646807	13.154065327646963	4.8025924563517925	0.612853314565	0.662892196342	0.662892196342
310000	-105796.287204	-105760.569151	-35.7180527756	0.340224408344	0.124169318319	8	6	1968.0	2000.5	4.3701891500824095	18.940712410145025	6.613434863147004	0.695664930835	0.719895337298	0.719895337298
320000	-105797.872505	-105765.250571	-32.6219339023	0.315050475718	0.122639971375	7	6	1968.0	2000.5	5.2826227206405445	14.969843562768535	5.611458782765284	0.565685781824	0.600060390651	0.600060390651
330000	-105805.36066	-105772.935181	-32.4254789695	0.33587529373	0.109998978242	6	6	1968.0	2000.5	6.750722026266665	14.994127144809687	2.5109148995576853	0.586660811626	0.665534721096	0.665534721096
340000	-105797.854153	-105765.268988	-32.5851646066	0.343808147126	0.124354971094	6	6	1968.0	2000.5	7.370096934579999	8.251789821545373	2.7538629028146193	0.639082118196	0.671445897901	0.671445897901
350000	-105798.726144	-105770.285315	-28.4408292351	0.339177747365	0.128334987961	6	5	1968.0	2000.5	4.934644376487936	16.230476897238205	3.7074034420659867	0.609459228686	0.658680936849	0.658680936849
360000	-105802.628513	-105770.992001	-31.6365113501	0.328028483119	0.113576427878	7	6	1968.0	2000.5	5.505684607181388	13.808322243267808	6.084007971775005	0.567781958997	0.574239319534	0.574239319534
370000	-105797.774801	-105757.67421	-40.1005916322	0.346745567552	0.115668222704	8	7	1968.0	2000.5	7.882226513447351	16.188962115006657	2.9740052889949884	0.877361534002	0.838982222873	0.838982222873
380000	-105794.642313	-105765.914228	-28.7280853445	0.332913052887	0.131976070187	6	6	1968.0	2000.5	5.4370648699754796	12.060606354763522	4.611422337894833	0.607110978992	0.6330162169	0.6330162169
390000	-105808.426668	-105780.912522	-27.5141458034	0.348030278902	0.139914450675	6	5	1968.0	2000.5	6.038584646683589	10.321805056979915	4.166707241752475	0.640585652391	0.665301814316	0.665301814316
400000	-105802.711404	-105776.39582	-26.3155835027	0.341157935267	0.128957351084	6	5	1968.0	2000.5	5.749693711992013	12.9337410503262	3.4928699101835154	0.579378449177	0.649961769309	0.649961769309
410000	-105798.626429	-105768.995956	-29.6304730072	0.306842555953	0.131147023445	7	5	1968.0	2000.5	8.780028626952697	14.434739688401717	5.174743479161883	0.523914017178	0.509295285863	0.509295285863
420000	-105796.624243	-105764.027078	-32.5971650095	0.3197035182	0.138359325261	7	6	1968.0	2000.5	7.687356153425897	18.490354364938373	6.486672232059314	0.59865370007	0.60217297591	0.60217297591
430000	-105806.437296	-105769.871087	-36.5662087621	0.334536113498	0.102988791744	7	7	1968.0	2000.5	4.48079254279539	24.260731622520126	4.775902254893887	0.587112106313	0.594453738146	0.594453738146
440000	-105797.34025	-105767.501116	-29.8391337988	0.331440369255	0.137052105978	6	6	1968.0	2000.5	4.558586529844616	15.549737088165434	3.9186962043983886	0.579579664667	0.593112707409	0.593112707409
450000	-105797.709416	-105771.473451	-26.2359649586	0.326573732192	0.133659397445	6	5	1968.0	2000.5	6.491574876807828	14.162182869457517	4.9031209372047115	0.554288617132	0.59090567979	0.59090567979
460000	-105798.345658	-105771.917319	-26.428338629	0.338075140222	0.132520050219	6	5	1968.0	2000.5	5.229792199716529	12.745621354944664	3.7252234728718614	0.607434778885	0.641849355672	0.641849355672
470000	-105799.980249	-105767.441638	-32.5386108832	0.327375842577	0.130575091343	7	5	1968.0	2000.5	5.910208389321525	27.16822633314131	5.739559778319556	0.593119734446	0.655983975642	0.655983975642
480000	-105797.975599	-105770.996009	-26.9795896947	0.337334243342	0.130223773164	6	5	1968.0	2000.5	6.416641270601741	15.062025883578318	4.79749745960411	0.605510863351	0.659214700547	0.659214700547
490000	-105797.478033	-105761.799302	-35.6787316867	0.319622678594	0.142308763256	8	6	1968.0	2000.5	6.203848089585584	13.414682929639186	3.66385351934464	0.56726992974	0.558656263951	0.558656263951
500000	-105798.18401	-105767.266992	-30.917017709	0.327139151755	0.142876520379	6	6	1968.0	2000.5	6.566241237982474	10.154785164173749	3.01734917627158	0.590563137122	0.566186945919	0.566186945919
510000	-105807.633285	-105776.320615	-31.3126701163	0.317646406273	0.0989921545772	7	6	1968.0	2000.5	8.345208379786607	17.05427856303173	6.0657860764050415	0.582995529016	0.609703502829	0.609703502829
