sp_events	ex_events	br_length
1	0	1.0
1	0	2.0
3	0	5.0
3	0	8.0
5	0	13.0
1	1	13.5
3	0	16.0
4	0	20.0
5	0	25.0
11	1	35.5
17	0	52.0
35	4	85.0
68	12	145.0
141	32	264.0
240	64	456.0
397	107	767.5
529	203	1141.5
655	309	1540.5
763	400	1949.0
1014	484	2521.0
1095	605	3071.5
1255	733	3657.5
1436	846	4304.0
1621	945	5029.5
1946	1287	5859.5
2082	1280	6658.0
2133	1406	7448.0
2272	1507	8263.5
2295	1534	9038.0
2326	1456	9869.0
2487	1408	10924.0
2651	1565	12088.5
