it	posterior	likelihood	prior	lambda_avg	mu_avg	K_l	K_m	root_age	death_age	gamma_rate_hp_BI	gamma_rate_hp_D	poisson_rate_hp	corr_coeff	rsquared	gelman_r2
430000	-466.177188965	-455.506612349	-10.670576616	0.135586283096	0.00114261487719	4	1	1968.0	2000.5	16.025450206415087	22.835797998863285	2.414864211549504	0.576000137425	0.631792799432	0.629255921322
440000	-457.07045149	-452.948207826	-4.12224366367	0.067955461225	0.000908400316442	3	1	1968.0	2000.5	26.30670365422653	51.29806847661129	1.3719178451286294	0.32119175625	0.481776605926	0.496491233568
450000	-458.049250005	-453.28842032	-4.7608296845	0.0824196826714	0.00305534500938	3	1	1968.0	2000.5	25.18710156957547	28.83291840935423	2.2791190311978244	0.397241379184	0.481158412378	0.499561524652
460000	-466.771623925	-464.738437713	-2.03318621187	0.0589833899423	0.00295765074812	2	1	1968.0	2000.5	19.742323311300535	22.346362117741233	2.4628193325677437	0.244120140857	0.417927515391	0.459671350832
470000	-456.74323524	-451.828539573	-4.91469566775	0.0784282290733	0.00107254958554	3	1	1968.0	2000.5	23.0198223364538	38.983281730827045	2.548246673648543	0.378671783123	0.482839732565	0.495702862003
480000	-460.600602499	-451.855334599	-8.74526789961	0.109306162047	0.00176982742853	4	1	1968.0	2000.5	32.52168232840316	68.60389124674214	2.7669901568297357	0.445456532275	0.523529137948	0.530752085832
490000	-458.977833159	-454.127329052	-4.85050410754	0.0863760981149	0.00168605190851	3	1	1968.0	2000.5	14.090915284036612	47.33265374523231	1.9727539801290865	0.390887035877	0.474585766836	0.495283079511
500000	-456.720636728	-452.770580966	-3.95005576255	0.0701066226973	0.00272830138832	3	1	1968.0	2000.5	27.107222557811625	38.58770316003478	2.4345931465606494	0.337859126124	0.480637079456	0.499579998484
510000	-457.275287762	-453.086537587	-4.1887501745	0.0730612585708	0.00297902671927	3	1	1968.0	2000.5	31.285484330921747	30.890045138738866	1.7607344119100383	0.339234743831	0.477557588303	0.500535336686
520000	-461.285012468	-456.097012921	-5.1879995477	0.0834790446679	0.00371659788839	3	1	1968.0	2000.5	14.818104200845365	22.78123616157226	1.8519044137462872	0.370840840771	0.474268437853	0.502192331228
530000	-462.51922679	-452.945701194	-9.57352559653	0.0741365347154	0.00152147743272	5	1	1968.0	2000.5	28.09247896695013	34.8474320860243	2.7550717221804533	0.4408505569	0.488267120077	0.494685119926
540000	-458.341982242	-456.390783421	-1.95119882144	0.0711981482084	0.00916737542383	3	3	1968.0	2000.5	19.907496123316434	112.73257767662662	1.516333591679919	0.325333611076	0.450028143727	0.478111639236
550000	-459.329225026	-454.284112349	-5.04511267663	0.0924630970629	0.000569639907274	3	1	1968.0	2000.5	19.13188605944997	114.68850739503849	3.4790157764475778	0.424124207231	0.496423719467	0.504461611113
560000	-458.019020145	-451.745175026	-6.27384511907	0.0728810275749	0.00176570545148	3	1	1968.0	2000.5	22.776848983742013	19.124930446907427	1.2429773443659387	0.360056178989	0.482905967883	0.496265475399
570000	-462.068174556	-455.976231717	-6.09194283869	0.0904855253526	0.00170209162495	3	1	1968.0	2000.5	11.062720130654588	39.33959079317364	2.659043317351192	0.401936188785	0.483478098959	0.499118988986
580000	-468.859397589	-465.166847528	-3.69255006099	0.0481672699326	0.00406977401024	2	1	1968.0	2000.5	13.883165247727883	16.04764953963474	2.2451871509020327	0.216188508583	0.419523392853	0.464621735614
590000	-461.160622189	-455.066692689	-6.09392950077	0.0782346488409	0.00413804097044	3	1	1968.0	2000.5	14.96169394871666	23.019718653391738	1.4901806904935342	0.405457262017	0.484148793451	0.497910868878
600000	-460.646225894	-456.254876588	-4.39134930631	0.0789221689476	0.00319632270797	3	1	1968.0	2000.5	20.038312693655662	36.624220888651834	2.802348105783393	0.378355958358	0.469156616452	0.490015938795
610000	-466.69366758	-455.19904851	-11.4946190702	0.122807910141	0.000860467718737	4	1	1968.0	2000.5	16.145551839920866	22.460874915880943	0.9433062165270877	0.522351498823	0.633898317273	0.627457603137
620000	-464.298554916	-454.386221864	-9.91233305288	0.120570961338	0.00235107235731	4	1	1968.0	2000.5	12.334061593245742	19.399236661201773	2.0346396167383753	0.462802321219	0.612592042952	0.627356213731
630000	-461.74141874	-456.624675974	-5.1167427659	0.0668694663289	0.0116078620369	3	2	1968.0	2000.5	13.350678546821406	62.394465923457744	2.444235428379496	0.328421437694	0.461638218346	0.479159561334
640000	-456.669645039	-453.486755564	-3.18288947423	0.0700494763334	0.0101164324614	3	2	1968.0	2000.5	22.925232559738102	67.65485729839548	1.1629924014600448	0.324943307958	0.478772328642	0.502712803944
650000	-458.926200818	-453.149303724	-5.77689709394	0.0818935900107	0.00922723746962	3	2	1968.0	2000.5	32.91045545327069	36.37728893518139	4.0534100883317965	0.415384725792	0.483819274838	0.497218787859
660000	-467.225061854	-464.049982066	-3.17507978751	0.0667576396839	0.0068756209089	3	2	1968.0	2000.5	33.8231729129688	49.70063171693681	1.7967328029683494	0.284793758474	0.448812656377	0.496380814497
670000	-461.467821423	-456.049860053	-5.41796137018	0.0725967803562	0.00281633883519	3	1	1968.0	2000.5	21.803161053018716	18.88893593922265	1.4924051730592638	0.357431257673	0.470637244337	0.488344056494
680000	-461.249353813	-453.869950418	-7.37940339529	0.0807374936217	0.00321348175975	3	1	1968.0	2000.5	20.38286308878308	10.755258987677019	1.0342882471290522	0.384875123459	0.478204271158	0.498693204632
690000	-461.314190442	-454.392880487	-6.92130995509	0.08344917347	0.00280248507091	3	1	1968.0	2000.5	26.481671357538424	36.331378241796834	5.243284473720456	0.379729924105	0.474120050828	0.497517703683
700000	-461.217966579	-455.630220286	-5.58774629251	0.0854221434652	0.00214878756446	3	1	1968.0	2000.5	15.577351550146929	30.847048662522187	2.537453903607537	0.391843919414	0.474815209662	0.493224605406
710000	-458.720738464	-454.694779431	-4.02595903349	0.0887170401744	0.00336490833351	3	1	1968.0	2000.5	17.356305568297724	50.64515206687366	2.2509557164287215	0.435688224654	0.482807779934	0.499218498627
720000	-463.403083422	-457.660753104	-5.74233031798	0.0739536359655	0.0355197243358	3	2	1968.0	2000.5	19.750093642038813	25.63544283993986	2.2521339046525046	0.314171599376	0.451045539556	0.498883791375
