id	ts	te
465	0	10
466	0	7
467	0	16
468	0	11
469	0	4
470	0	0
471	0	14
472	0	0
473	0	6
474	0	0
475	0	18
476	0	5
477	0	0
478	0	2
479	0	2
480	0	5
481	0	3
482	0	1
483	0	1
484	0	4
485	0	4
486	0	0
487	0	0
488	0	2
489	0	3
490	0	1
491	0	2
492	0	17
493	0	12
494	0	5
495	0	2
496	0	12
497	0	0
498	0	10
499	0	2
500	0	5
501	0	15
502	0	0
503	0	4
504	0	1
505	0	0
506	0	5
507	0	1
508	0	3
509	0	9
510	0	9
511	0	6
512	0	16
513	0	0
514	0	17
515	0	16
516	0	6
517	0	0
518	0	16
519	0	2
520	0	13
521	0	4
522	0	7
523	0	8
524	0	0
525	0	1
526	0	5
527	0	9
528	0	3
529	0	5
530	0	12
531	0	4
532	0	3
533	0	0
534	0	22
535	0	5
536	0	5
537	0	1
538	0	5
539	0	1
540	0	5
541	0	0
542	0	2
543	0	3
544	0	4
545	0	7
546	0	1
547	0	13
548	0	10
549	0	0
550	0	9
551	0	9
552	0	3
553	0	1
554	0	2
555	0	4
556	0	5
557	0	6
558	0	24
559	0	8
560	0	9
561	0	13
562	0	10
563	0	1
564	0	0
565	0	5
566	0	4
567	0	8
568	0	3
569	0	7
570	0	2
571	0	4
572	0	8
573	0	8
574	0	5
575	0	2
576	0	0
577	0	20
578	0	11
579	0	5
580	0	0
581	0	1
582	0	3
583	0	10
584	0	9
585	0	4
586	0	3
587	0	5
588	0	10
589	0	2
590	0	3
591	0	1
592	0	2
593	0	1
594	0	0
595	0	2
596	0	9
597	0	10
598	0	4
599	0	2
600	0	10
601	0	1
602	0	3
603	0	3
604	0	5
605	0	0
606	0	21
607	0	17
608	0	7
609	0	7
610	0	2
611	0	8
612	0	3
613	0	0
614	0	5
615	0	0
616	0	11
617	0	18
618	0	6
619	0	6
620	0	9
621	0	5
622	0	0
623	0	5
624	0	0
625	0	4
626	0	17
627	0	18
628	0	4
629	0	8
630	0	4
631	0	3
632	0	6
633	0	16
634	0	7
635	0	0
636	0	9
637	0	15
638	0	2
639	0	3
640	0	9
641	0	5
642	0	4
643	0	0
644	0	3
645	0	16
646	0	10
647	0	8
648	0	5
649	0	11
650	0	0
651	0	2
652	0	0
653	0	14
654	0	2
655	0	1
656	0	1
657	0	26
658	0	1
659	0	7
660	0	5
661	0	18
662	0	0
663	0	12
664	0	4
665	0	5
666	0	25
667	0	5
668	0	2
669	0	7
670	0	1
671	0	21
672	0	10
673	0	11
674	0	15
675	0	0
676	0	19
677	0	3
678	0	1
679	0	5
680	0	0
681	0	16
682	0	17
683	0	0
684	0	1
685	0	35
686	0	15
687	0	1
688	0	9
689	0	10
690	0	28
691	0	15
692	0	5
693	0	2
694	0	1
695	0	2
696	0	2
697	0	4
698	0	17
699	0	3
700	0	3
701	0	5
702	0	0
703	0	1
704	0	9
705	0	7
706	0	13
707	0	0
708	0	6
709	0	16
710	0	14
711	0	1
712	0	3
713	0	14
714	0	3
715	0	0
716	0	17
717	0	8
718	0	16
719	0	1
720	0	1
721	0	2
722	0	2
723	0	6
724	0	1
725	0	1
726	0	3
727	0	0
728	0	14
729	0	2
730	0	19
731	0	5
732	0	13
733	0	1
734	0	10
735	0	11
736	0	1
737	0	14
738	0	0
739	0	5
740	0	0
741	0	13
742	0	9
743	0	5
744	0	14
745	0	14
746	0	1
747	0	3
748	0	3
749	0	17
750	0	5
751	0	6
752	0	0
753	0	0
754	0	17
755	0	7
756	0	13
757	0	2
758	0	0
759	0	3
760	0	10
761	0	0
762	0	2
763	0	12
764	0	5
765	0	9
766	0	0
767	0	11
768	0	4
769	0	16
770	0	1
771	0	3
772	0	2
773	0	19
774	0	5
775	0	11
776	0	18
777	0	4
778	0	1
779	0	0
780	0	4
781	0	6
782	0	3
783	0	10
784	0	14
785	0	5
786	0	10
787	0	10
788	0	5
789	0	0
790	0	0
791	0	1
792	0	1
793	0	25
794	0	6
795	0	10
796	0	4
797	0	1
798	0	3
799	0	2
800	0	40
801	0	7
802	0	10
803	0	16
804	0	12
805	0	1
806	0	6
807	0	16
808	0	2
809	0	13
810	0	10
811	0	10
812	0	8
813	0	8
814	0	5
815	0	4
816	0	8
817	0	4
818	0	1
819	0	1
820	0	2
821	0	2
822	0	3
823	0	13
824	0	7
825	0	1
826	0	22
827	0	9
828	0	14
829	0	7
830	0	0
831	0	11
832	0	0
833	0	0
834	0	13
835	0	3
836	0	11
837	0	4
838	0	22
839	0	4
840	0	6
841	0	3
842	0	8
843	0	12
844	0	16
845	0	0
846	0	9
847	0	8
848	0	0
849	0	6
850	0	3
851	0	8
852	0	0
853	0	10
854	0	13
855	0	10
856	0	0
857	0	5
858	0	9
859	0	7
860	0	5
861	0	4
862	0	11
863	0	1
864	0	4
865	0	1
866	0	10
867	0	12
868	0	3
869	0	6
870	0	10
871	0	3
872	0	0
873	0	0
874	0	2
875	0	0
876	0	7
877	0	14
878	0	0
879	0	3
880	0	6
881	0	19
882	0	0
883	0	3
884	0	4
885	0	3
886	0	4
887	0	17
888	0	10
889	0	0
890	0	4
891	0	6
892	0	7
893	0	0
894	0	3
895	0	3
896	0	20
897	0	4
898	0	1
899	0	1
900	0	7
901	0	10
902	0	1
903	0	4
904	0	3
905	0	0
906	0	0
907	0	11
908	0	29
909	0	6
910	0	15
911	0	12
912	0	18
913	0	11
914	0	3
915	0	12
916	0	0
917	0	7
918	0	8
919	0	4
920	0	2
921	0	1
922	0	3
923	0	3
924	0	11
925	0	0
926	0	3
927	0	4
928	0	12
929	0	13
930	0	6
931	0	1
932	0	7
933	0	29
934	0	6
935	0	1
936	0	13
937	0	24
938	0	15
939	0	1
940	0	0
941	0	1
942	0	6
943	0	10
944	0	0
945	0	0
946	0	15
947	0	0
948	0	4
949	0	3
950	0	3
951	0	2
952	0	4
953	0	2
954	0	1
955	0	2
956	0	10
957	0	1
958	0	2
959	0	13
960	0	2
961	0	13
962	0	3
963	0	35
964	0	20
965	0	8
966	0	0
967	0	1
968	0	1
969	0	6
970	0	12
971	0	0
972	0	13
973	0	4
974	0	0
975	0	2
976	0	0
977	0	3
978	0	0
979	0	2
980	0	2
981	0	17
982	0	17
983	0	10
984	0	5
985	0	2
986	0	3
987	0	35
988	0	5
989	0	0
990	0	3
991	0	1
992	0	10
993	0	2
994	0	0
995	0	1
996	0	7
997	0	15
998	0	4
999	0	3
1000	0	4
1001	0	14
1002	0	2
1003	0	7
1004	0	0
1005	0	6
1006	0	5
1007	0	13
1008	0	18
1009	0	11
1010	0	15
1011	0	14
1012	0	3
1013	0	4
1014	0	0
1015	0	4
1016	0	7
1017	0	24
1018	0	7
1019	0	1
1020	0	0
1021	0	3
1022	0	10
1023	0	10
1024	0	6
1025	0	10
1026	0	7
1027	0	11
1028	0	16
1029	0	1
1030	0	2
1031	0	15
1032	0	1
1033	0	16
1034	0	28
1035	0	11
1036	0	15
1037	0	7
1038	0	14
1039	0	1
1040	0	1
1041	0	2
1042	0	7
1043	0	33
1044	0	0
1045	0	7
1046	0	7
1047	0	5
1048	0	0
1049	0	6
1050	0	1
1051	0	0
1052	0	1
1053	0	8
1054	0	2
1055	0	2
1056	0	4
1057	0	5
1058	0	14
1059	0	2
1060	0	10
1061	0	18
1062	0	5
1063	0	3
1064	0	4
1065	0	11
1066	0	8
1067	0	1
1068	0	11
1069	0	3
1070	0	2
1071	0	1
1072	0	29
1073	0	3
1074	0	7
1075	0	1
1076	0	8
1077	0	40
1078	0	10
1079	0	18
1080	0	2
1081	0	9
1082	0	9
1083	0	0
1084	0	9
1085	0	7
1086	0	0
1087	0	15
1088	0	9
1089	0	9
1090	0	11
1091	0	1
1092	0	5
1093	0	7
1094	0	2
1095	0	2
1096	0	5
1097	0	2
1098	0	1
1099	0	8
1100	0	8
1101	0	13
1102	0	40
1103	0	0
1104	0	7
1105	0	10
1106	0	13
1107	0	6
1108	0	2
1109	0	17
1110	0	1
1111	0	17
1112	0	10
1113	0	6
1114	0	6
1115	0	0
1116	0	0
1117	0	2
1118	0	4
1119	0	2
1120	0	1
1121	0	4
1122	0	4
1123	0	1
1124	0	9
1125	0	7
1126	0	7
1127	0	3
1128	0	11
1129	0	15
1130	0	22
1131	0	1
1132	0	13
1133	0	4
1134	0	3
1135	0	1
1136	0	3
1137	0	3
1138	0	2
1139	0	21
1140	0	5
1141	0	4
1142	0	23
1143	0	1
1144	0	1
1145	0	7
1146	0	16
1147	0	5
1148	0	7
1149	0	18
1150	0	3
1151	0	19
1152	0	3
1153	0	0
1154	0	5
1155	0	17
1156	0	0
1157	0	0
1158	0	11
1159	0	2
1160	0	8
1161	0	7
1162	0	3
1163	0	11
1164	0	2
1165	0	10
1166	0	9
1167	0	3
1168	0	7
1169	0	1
1170	0	15
1171	0	3
1172	0	2
1173	0	4
1174	0	7
1175	0	4
1176	0	1
1177	0	2
1178	0	3
1179	0	3
1180	0	10
1181	0	1
1182	0	0
1183	0	2
1184	0	1
1185	0	22
1186	0	1
1187	0	6
1188	0	16
1189	0	16
1190	0	13
1191	0	3
1192	0	8
1193	0	5
1194	0	17
1195	0	9
1196	0	1
1197	0	13
1198	0	9
1199	0	1
1200	0	1
1201	0	0
1202	0	4
1203	0	5
1204	0	8
1205	0	8
1206	0	4
1207	0	9
1208	0	7
1209	0	9
1210	0	7
1211	0	8
1212	0	3
1213	0	2
1214	0	2
1215	0	3
1216	0	8
1217	0	5
1218	0	11
1219	0	10
1220	0	5
1221	0	17
1222	0	7
1223	0	5
1224	0	1
1225	0	1
1226	0	14
1227	0	10
1228	0	14
1229	0	8
1230	0	7
1231	0	9
1232	0	15
1233	0	2
1234	0	3
1235	0	6
1236	0	4
1237	0	3
1238	0	1
1239	0	10
1240	0	16
1241	0	11
1242	0	1
1243	0	3
1244	0	9
1245	0	5
1246	0	21
1247	0	12
1248	0	1
1249	0	2
1250	0	3
1251	0	1
1252	0	1
1253	0	4
1254	0	10
1255	0	10
1256	0	3
1257	0	2
1258	0	0
1259	0	1
1260	0	9
1261	0	2
1262	0	8
1263	0	2
1264	0	2
1265	0	13
1266	0	13
1267	0	14
1268	0	18
1269	0	2
1270	0	8
1271	0	5
1272	0	14
1273	0	4
1274	0	3
1275	0	11
1276	0	6
1277	0	14
1278	0	14
1279	0	19
1280	0	8
1281	1	11
1282	1	6
1283	1	21
1284	1	4
1285	1	9
1286	1	17
1287	1	8
1288	1	6
1289	1	8
1290	1	6
1291	1	7
1292	1	2
1293	1	10
1294	1	5
1295	1	1
1296	1	13
1297	1	6
1298	1	5
1299	1	13
1300	1	1
1301	1	7
1302	1	11
1303	1	3
1304	1	2
1305	1	2
1306	1	8
1307	1	7
1308	1	3
1309	1	3
1310	1	8
1311	1	3
1312	1	2
1313	1	4
1314	1	6
1315	1	13
1316	1	8
1317	1	25
1318	1	9
1319	1	4
1320	1	11
1321	1	10
1322	1	3
1323	1	20
1324	1	2
1325	1	19
1326	1	10
1327	1	33
1328	1	12
1329	1	15
1330	1	9
1331	1	4
1332	1	2
1333	1	2
1334	1	7
1335	1	10
1336	1	4
1337	1	12
1338	1	24
1339	1	3
1340	1	8
1341	1	11
1342	1	1
1343	1	2
1344	1	16
1345	1	3
1346	1	13
1347	1	9
1348	1	9
1349	1	4
1350	1	16
1351	1	8
1352	1	7
1353	1	1
1354	1	8
1355	1	6
1356	1	6
1357	1	20
1358	1	2
1359	1	1
1360	1	11
1361	1	12
1362	1	2
1363	1	6
1364	1	9
1365	1	8
1366	1	6
1367	1	7
1368	1	4
1369	1	24
1370	1	9
1371	1	3
1372	1	2
1373	1	1
1374	1	6
1375	1	16
1376	1	5
1377	1	20
1378	1	5
1379	1	1
1380	1	5
1381	1	4
1382	1	18
1383	1	1
1384	1	2
1385	1	7
1386	1	4
1387	1	14
1388	1	2
1389	1	10
1390	1	8
1391	1	9
1392	1	10
1393	1	2
1394	1	6
1395	1	2
1396	1	11
1397	1	3
1398	1	8
1399	1	3
1400	1	7
1401	1	9
1402	1	4
1403	1	5
1404	1	6
1405	1	5
1406	1	9
1407	1	10
1408	1	7
1409	1	6
1410	1	9
1411	1	19
1412	1	2
1413	1	15
1414	1	13
1415	1	5
1416	1	14
1417	1	6
1418	1	8
1419	1	10
1420	1	9
1421	1	5
1422	1	7
1423	1	4
1424	1	5
1425	1	2
1426	1	4
1427	1	4
1428	1	21
1429	1	5
1430	1	5
1431	1	11
1432	1	7
1433	1	34
1434	1	6
1435	1	4
1436	1	11
1437	1	21
1438	1	11
1439	1	22
1440	1	5
1441	1	11
1442	1	12
1443	1	13
1444	1	2
1445	1	9
1446	1	17
1447	1	9
1448	1	12
1449	1	14
1450	1	2
1451	1	8
1452	1	3
1453	1	14
1454	1	15
1455	1	3
1456	1	14
1457	1	9
1458	1	7
1459	1	7
1460	1	4
1461	1	7
1462	1	1
1463	1	3
1464	1	6
1465	1	3
1466	1	1
1467	1	2
1468	1	5
1469	1	2
1470	1	6
1471	1	5
1472	1	3
1473	1	4
1474	1	3
1475	1	9
1476	1	14
1477	1	4
1478	1	1
1479	1	2
1480	1	5
1481	1	7
1482	1	9
1483	1	14
1484	1	6
1485	1	9
1486	1	8
1487	1	4
1488	1	9
1489	1	15
1490	1	7
1491	1	10
1492	1	4
1493	1	6
1494	1	1
1495	1	16
1496	1	8
1497	1	1
1498	1	8
1499	1	13
1500	1	8
1501	1	2
1502	1	2
1503	1	7
1504	1	2
1505	1	4
1506	1	8
1507	1	5
1508	1	9
1509	1	4
1510	1	2
1511	1	2
1512	1	13
1513	1	13
1514	1	19
1515	1	2
1516	1	5
1517	1	5
1518	1	21
1519	1	40
1520	1	8
1521	1	40
1522	1	3
1523	1	15
1524	1	18
1525	1	2
1526	1	6
1527	1	9
1528	1	6
1529	1	4
1530	1	18
1531	1	23
1532	1	5
1533	1	6
1534	1	13
1535	1	4
1536	1	11
1537	1	5
1538	1	8
1539	1	5
1540	1	16
1541	1	9
1542	1	7
1543	1	2
1544	1	5
1545	1	2
1546	1	9
1547	1	14
1548	1	6
1549	1	4
1550	1	3
1551	1	11
1552	1	18
1553	1	3
1554	1	2
1555	1	3
1556	1	4
1557	1	15
1558	1	18
1559	1	6
1560	1	1
1561	1	4
1562	1	5
1563	1	3
1564	1	10
1565	1	24
1566	1	7
1567	1	5
1568	1	11
1569	1	4
1570	1	12
1571	1	15
1572	1	13
1573	1	5
1574	1	15
1575	1	6
1576	1	19
1577	1	2
1578	1	9
1579	1	3
1580	1	2
1581	1	4
1582	1	3
1583	1	14
1584	1	23
1585	1	9
1586	1	1
1587	1	8
1588	1	7
1589	1	8
1590	1	8
1591	1	12
1592	1	17
1593	1	5
1594	1	6
1595	1	6
1596	1	2
1597	1	2
1598	1	2
1599	1	2
1600	1	15
1601	1	21
1602	1	16
1603	1	25
1604	1	25
1605	1	11
1606	1	6
1607	1	12
1608	1	2
1609	1	4
1610	1	22
1611	1	13
1612	1	4
1613	1	2
1614	1	19
1615	1	2
1616	2	12
1617	2	3
1618	2	8
1619	2	8
1620	2	7
1621	2	4
1622	2	7
1623	2	20
1624	2	3
1625	2	10
1626	2	9
1627	2	6
1628	2	2
1629	2	12
1630	2	5
1631	2	16
1632	2	2
1633	2	6
1634	2	4
1635	2	6
1636	2	3
1637	2	18
1638	2	7
1639	2	32
1640	2	2
1641	2	8
1642	2	5
1643	2	13
1644	2	3
1645	2	20
1646	2	6
1647	2	8
1648	2	5
1649	2	2
1650	2	6
1651	2	8
1652	2	5
1653	2	5
1654	2	3
1655	2	8
1656	2	23
1657	2	12
1658	2	26
1659	2	4
1660	2	3
1661	2	4
1662	2	2
1663	2	4
1664	2	12
1665	2	14
1666	2	5
1667	2	6
1668	2	4
1669	2	8
1670	2	2
1671	2	20
1672	2	6
1673	2	9
1674	2	15
1675	2	14
1676	2	10
1677	2	2
1678	2	3
1679	2	9
1680	2	15
1681	2	7
1682	2	2
1683	2	9
1684	2	2
1685	2	3
1686	2	14
1687	2	4
1688	2	4
1689	2	3
1690	2	6
1691	2	2
1692	2	3
1693	2	2
1694	2	2
1695	2	3
1696	2	8
1697	2	5
1698	2	13
1699	2	6
1700	2	2
1701	2	4
1702	2	4
1703	2	6
1704	2	3
1705	2	13
1706	2	7
1707	2	9
1708	2	8
1709	2	3
1710	2	14
1711	2	3
1712	2	8
1713	2	5
1714	2	10
1715	2	4
1716	2	8
1717	2	7
1718	2	2
1719	2	13
1720	2	12
1721	2	20
1722	2	9
1723	2	9
1724	2	8
1725	2	15
1726	2	3
1727	2	11
1728	2	4
1729	2	2
1730	2	3
1731	2	7
1732	2	3
1733	2	9
1734	2	6
1735	2	5
1736	2	4
1737	2	33
1738	2	2
1739	2	5
1740	2	13
1741	2	3
1742	2	3
1743	2	2
1744	2	5
1745	2	3
1746	2	3
1747	2	13
1748	2	13
1749	2	9
1750	2	11
1751	2	7
1752	2	15
1753	2	5
1754	2	8
1755	2	14
1756	2	17
1757	2	4
1758	2	15
1759	2	14
1760	2	4
1761	2	4
1762	2	6
1763	2	37
1764	2	28
1765	2	17
1766	2	3
1767	2	8
1768	2	8
1769	2	6
1770	2	22
1771	2	9
1772	2	2
1773	2	7
1774	2	5
1775	2	10
1776	2	3
1777	2	3
1778	2	9
1779	2	3
1780	2	10
1781	2	2
1782	2	18
1783	2	3
1784	2	2
1785	2	6
1786	2	11
1787	2	5
1788	2	8
1789	2	12
1790	2	18
1791	2	6
1792	2	7
1793	2	8
1794	2	5
1795	2	7
1796	2	10
1797	2	22
1798	2	12
1799	2	2
1800	2	5
1801	2	22
1802	2	5
1803	2	11
1804	2	2
1805	2	3
1806	2	4
1807	2	13
1808	2	2
1809	2	6
1810	2	7
1811	2	39
1812	2	9
1813	2	10
1814	2	6
1815	2	26
1816	2	8
1817	2	3
1818	2	28
1819	2	6
1820	2	3
1821	2	8
1822	2	3
1823	2	16
1824	2	2
1825	2	4
1826	2	3
1827	2	9
1828	2	8
1829	2	7
1830	2	6
1831	2	7
1832	2	15
1833	2	16
1834	2	5
1835	2	18
1836	2	6
1837	2	12
1838	2	5
1839	2	10
1840	2	7
1841	2	3
1842	2	8
1843	2	17
1844	2	9
1845	2	5
1846	2	5
1847	2	6
1848	2	10
1849	2	3
1850	2	8
1851	2	4
1852	2	8
1853	2	18
1854	2	6
1855	2	4
1856	2	12
1857	2	5
1858	2	6
1859	2	2
1860	2	10
1861	2	11
1862	2	13
1863	2	2
1864	2	23
1865	2	11
1866	2	9
1867	2	3
1868	2	13
1869	2	5
1870	2	5
1871	2	6
1872	2	4
1873	2	19
1874	2	10
1875	2	10
1876	2	6
1877	2	13
1878	2	19
1879	2	6
1880	2	6
1881	2	7
1882	2	6
1883	2	19
